filename,dest_filename,source_folder,colour_family,hex,hue_degrees,saturation_pct,brightness_pct
GIUP-C01.jpg,GIUP-C01.jpg,CAT EYE / CAT EYE,Grey_Neutral,#505051,240.0,1.2,31.8
GIUP-C02.jpg,GIUP-C02.jpg,CAT EYE / CAT EYE,Green,#455042,107.1,17.5,31.4
GIUP-C03.jpg,GIUP-C03.jpg,CAT EYE / CAT EYE,Purple,#47424F,263.1,16.5,31.0
GIUP-C04.jpg,GIUP-C04.jpg,CAT EYE / CAT EYE,Red,#5A3433,1.5,43.3,35.3
GIUP-C05.jpg,GIUP-C05.jpg,CAT EYE / CAT EYE,Brown_Nude,#524343,0.0,18.3,32.2
GIUP-C06.jpg,GIUP-C06.jpg,CAT EYE / CAT EYE,Red,#58363D,347.6,38.6,34.5
GIUP-C07.jpg,GIUP-C07.jpg,CAT EYE / CAT EYE,Red,#51353C,345.0,34.6,31.8
GIUP-C08.jpg,GIUP-C08.jpg,CAT EYE / CAT EYE,Green,#4B5047,93.3,11.2,31.4
DCE1.webp,DCE1.webp,CAT EYE / DREAMY CAT EYE,Glitter_Specialty,#A3A5A5,180.0,1.2,64.7
DCE2.webp,DCE2.webp,CAT EYE / DREAMY CAT EYE,Glitter_Specialty,#B39C9A,4.8,14.0,70.2
DCE3.webp,DCE3.webp,CAT EYE / DREAMY CAT EYE,Glitter_Specialty,#BF9192,358.7,24.1,74.9
DCE4.webp,DCE4.webp,CAT EYE / DREAMY CAT EYE,Glitter_Specialty,#B796A7,329.1,18.0,71.8
FAN12.webp,FAN12.webp,CAT EYE / FAN,Other_Specialty,#4F575A,196.4,12.2,35.3
GIUP-FAN01.jpg,GIUP-FAN01.jpg,CAT EYE / FAN,Other_Specialty,#3D4C52,197.1,25.6,32.2
GIUP-FAN02.jpg,GIUP-FAN02.jpg,CAT EYE / FAN,Other_Specialty,#554138,18.6,34.1,33.3
GIUP-FAN03.jpg,GIUP-FAN03.jpg,CAT EYE / FAN,Other_Specialty,#3B3B58,240.0,33.0,34.5
GIUP-FAN04.jpg,GIUP-FAN04.jpg,CAT EYE / FAN,Other_Specialty,#46513B,90.0,27.2,31.8
GIUP-FAN05.jpg,GIUP-FAN05.jpg,CAT EYE / FAN,Other_Specialty,#544A47,13.8,15.5,32.9
GIUP-FAN06.jpg,GIUP-FAN06.jpg,CAT EYE / FAN,Other_Specialty,#5A3F3B,7.7,34.4,35.3
GIUP-FAN07.jpg,GIUP-FAN07.jpg,CAT EYE / FAN,Other_Specialty,#5C5C5C,0.0,0.0,36.1
GIUP-FAN08.jpg,GIUP-FAN08.jpg,CAT EYE / FAN,Other_Specialty,#625A4E,36.0,20.4,38.4
GIUP-FAN09.jpg,GIUP-FAN09.jpg,CAT EYE / FAN,Other_Specialty,#5B5D5E,200.0,3.2,36.9
GIUP-FAN10.jpg,GIUP-FAN10.jpg,CAT EYE / FAN,Other_Specialty,#5C5248,30.0,21.7,36.1
GIUP-FAN11.jpg,GIUP-FAN11.jpg,CAT EYE / FAN,Other_Specialty,#5E5144,30.0,27.7,36.9
GIUP-FAN13.jpg,GIUP-FAN13.jpg,CAT EYE / FAN,Other_Specialty,#57352D,11.4,48.3,34.1
GCE01.webp,GCE01.webp,CAT EYE / GLASS CAT EYE,Glitter_Specialty,#E0E7D7,86.2,6.9,90.6
GCE02.webp,GCE02.webp,CAT EYE / GLASS CAT EYE,Glitter_Specialty,#F3D5DD,344.0,12.3,95.3
GCE03.webp,GCE03.webp,CAT EYE / GLASS CAT EYE,Glitter_Specialty,#D9DCDD,195.0,1.8,86.7
GCE04.webp,GCE04.webp,CAT EYE / GLASS CAT EYE,Glitter_Specialty,#A5BDD0,206.5,20.7,81.6
GCE05.webp,GCE05.webp,CAT EYE / GLASS CAT EYE,Glitter_Specialty,#EBCDAD,31.0,26.4,92.2
GCE06.webp,GCE06.webp,CAT EYE / GLASS CAT EYE,Glitter_Specialty,#DFBBCB,333.3,16.1,87.5
GCE07.webp,GCE07.webp,CAT EYE / GLASS CAT EYE,Glitter_Specialty,#E8CBA4,34.4,29.3,91.0
RQCE1.webp,RQCE1.webp,CAT EYE / ROSE QUARTZ CAT EYE,Glitter_Specialty,#C6708B,341.2,43.4,77.6
RQCE2.webp,RQCE2.webp,CAT EYE / ROSE QUARTZ CAT EYE,Glitter_Specialty,#C8747B,355.0,42.0,78.4
RQCE3.webp,RQCE3.webp,CAT EYE / ROSE QUARTZ CAT EYE,Glitter_Specialty,#CB7E9F,334.3,37.9,79.6
GIUP-VCE-01.jpg,GIUP-VCE-01.jpg,CAT EYE / VELVET CAT EYE,Brown_Nude,#9F908B,15.0,12.6,62.4
GIUP-VCE-02.jpg,GIUP-VCE-02.jpg,CAT EYE / VELVET CAT EYE,Brown_Nude,#A2A2A2,0.0,0.0,63.5
GIUP-VCE-03.jpg,GIUP-VCE-03.jpg,CAT EYE / VELVET CAT EYE,Purple,#A99AAD,287.4,11.0,67.8
GIUP-VCE-04.jpg,GIUP-VCE-04.jpg,CAT EYE / VELVET CAT EYE,Brown_Nude,#AF979B,350.0,13.7,68.6
GIUP-VCE-05.jpg,GIUP-VCE-05.jpg,CAT EYE / VELVET CAT EYE,Blue,#8E99B0,220.6,19.3,69.0
GIUP-VCE-06.webp,GIUP-VCE-06.webp,CAT EYE / VELVET CAT EYE,Green,#829287,138.8,11.0,57.3
