SL_Code,Target_HEX,Mixed_HEX,Delta_E,S1,S8,S2,S4,S5,S19,S7,S9,S10,S11,S12,S14,S15
SL0001,#181818,#DCDEDD,79.79,19,0,1,0,0,0,0,0,0,0,0,0,0
SL0002,#F0F0F0,#DCDEDD,6.77,19,0,1,0,0,0,0,0,0,0,0,0,0
SL0003,#F8E8F0,#CFC4CD,13.54,17,0,0,0,0,0,0,0,3,0,0,0,0
SL0004,#F8E8E8,#DCD0CE,9.37,17,0,0,0,0,0,0,0,1,0,0,0,1
SL0005,#F0C8D8,#C9ACBA,11.92,14,0,0,0,0,0,0,0,4,0,0,0,1
SL0006,#E8C8D0,#D1B1B7,8.65,15,0,0,0,0,0,0,0,3,0,0,0,2
SL0007,#F8C0D8,#C59AAB,16.3,13,0,0,0,0,0,0,0,5,0,0,0,2
SL0008,#F8C8D8,#CBA5B1,14.28,14,0,0,0,0,0,0,0,4,0,0,0,2
SL0009,#F8C0C8,#D1A4A9,12.01,13,0,0,0,0,0,0,0,3,0,0,0,3
SL0010,#F8C8D8,#CBA5B1,14.28,14,0,0,0,0,0,0,0,4,0,0,0,2
SL0011,#F8C0E8,#CEA1C0,13.99,12,0,4,0,0,0,0,4,0,0,0,0,0
SL0012,#F8E0F0,#D7C4D0,10.99,16,0,2,0,0,0,0,2,0,0,0,0,0
SL0013,#F8C8E0,#C5A3B6,16.01,14,0,0,0,0,0,0,0,5,0,0,0,1
SL0014,#F8B8C8,#C6909F,15.91,12,0,0,0,0,0,0,0,5,0,0,0,3
SL0015,#F8B0D0,#BE89A1,18.17,11,0,0,0,0,0,0,0,6,0,0,0,2
SL0016,#F8B0C8,#C08599,17.83,11,0,0,0,0,0,0,0,6,0,0,0,3
SL0017,#F8C8D0,#D2A7AC,12.71,14,0,0,0,0,0,0,0,3,0,0,0,3
SL0018,#F8D0C8,#DEBEB8,7.99,16,0,0,0,0,0,0,0,1,0,0,0,3
SL0019,#F8B0B0,#D49495,11.47,12,0,0,0,0,0,0,0,3,0,0,0,5
SL0020,#F8C0C8,#D1A4A9,12.01,13,0,0,0,0,0,0,0,3,0,0,0,3
SL0021,#F0C0C8,#D2A7AC,9.94,14,0,0,0,0,0,0,0,3,0,0,0,3
SL0022,#F0B8C0,#CC9CA6,11.49,13,0,0,0,0,0,0,0,4,0,0,0,3
SL0023,#F8B0B8,#CD929A,13.05,12,0,0,0,0,0,0,0,4,0,0,0,4
SL0024,#F8C0B0,#E5B4A5,5.62,14,0,0,0,0,0,0,0,0,0,0,0,5
SL0025,#F8C0C8,#D1A4A9,12.01,13,0,0,0,0,0,0,0,3,0,0,0,3
SL0026,#F8C0C0,#D9A9A7,9.83,14,0,0,0,0,0,0,0,2,0,0,0,4
SL0027,#F8B0B8,#CD929A,13.05,12,0,0,0,0,0,0,0,4,0,0,0,4
SL0028,#E8B0B0,#D8A6A4,5.01,13,0,0,0,0,0,0,0,2,0,0,0,4
SL0029,#F8C0E0,#BF98B0,18.04,13,0,0,0,0,0,0,0,6,0,0,0,1
SL0030,#E8A0C0,#BA839E,14.31,11,0,0,0,0,0,0,0,7,0,0,0,2
SL0031,#F0A0B8,#C08599,14.43,11,0,0,0,0,0,0,0,6,0,0,0,3
SL0032,#F8A8C8,#BC7E97,18.78,11,0,0,0,0,0,0,0,7,0,0,0,3
SL0033,#F8B8B8,#D39EA1,11.63,13,0,0,0,0,0,0,0,3,0,0,0,4
SL0034,#E8B0B8,#CC9CA6,8.75,13,0,0,0,0,0,0,0,4,0,0,0,3
SL0035,#F8B0B8,#CD929A,13.05,12,0,0,0,0,0,0,0,4,0,0,0,4
SL0036,#F8A8B0,#CE898F,13.33,11,0,0,0,0,0,0,0,4,0,0,0,5
SL0037,#F8B8C0,#CE969E,13.58,13,0,0,0,0,0,0,0,4,0,0,0,4
SL0038,#F8A0B0,#C87D89,14.97,10,0,0,0,0,0,0,0,5,0,0,0,5
SL0039,#F0A0B8,#C08599,14.43,11,0,0,0,0,0,0,0,6,0,0,0,3
SL0040,#F8A8C8,#BC7E97,18.78,11,0,0,0,0,0,0,0,7,0,0,0,3
SL0041,#F8A0B8,#C17B8E,16.87,10,0,0,0,0,0,0,0,6,0,0,0,4
SL0042,#F0A8B8,#C88B98,12.51,12,0,0,0,0,0,0,0,5,0,0,0,4
SL0043,#E898A8,#C78794,9.96,11,0,0,0,0,0,0,0,5,0,0,0,4
SL0044,#E890A0,#C87D89,9.8,10,0,0,0,0,0,0,0,5,0,0,0,5
SL0045,#E898A8,#C78794,9.96,11,0,0,0,0,0,0,0,5,0,0,0,4
SL0046,#E8A0C0,#BA839E,14.31,11,0,0,0,0,0,0,0,7,0,0,0,2
SL0047,#F090B8,#B56E8D,18.5,9,0,0,0,0,0,0,0,8,0,0,0,3
SL0048,#E898B0,#C17B8E,12.51,10,0,0,0,0,0,0,0,6,0,0,0,4
SL0049,#E0A8B8,#C894A2,8.1,13,0,0,0,0,0,0,0,5,0,0,0,3
SL0050,#D8A8B8,#C59AAB,6.08,13,0,0,0,0,0,0,0,5,0,0,0,2
SL0051,#F0A8D0,#BA839E,17.85,11,0,0,0,0,0,0,0,7,0,0,0,2
SL0052,#F088B0,#B66482,18.55,8,0,0,0,0,0,0,0,8,0,0,0,4
SL0053,#F888A8,#BC667D,18.53,8,0,0,0,0,0,0,0,7,0,0,0,5
SL0054,#F890B0,#BB7088,18.62,9,0,0,0,0,0,0,0,7,0,0,0,4
SL0055,#F090A8,#C27283,14.45,9,0,0,0,0,0,0,0,6,0,0,0,5
SL0056,#F898A8,#C87D89,14.46,10,0,0,0,0,0,0,0,5,0,0,0,5
SL0057,#F898A8,#C87D89,14.46,10,0,0,0,0,0,0,0,5,0,0,0,5
SL0058,#F0A8B8,#C88B98,12.51,12,0,0,0,0,0,0,0,5,0,0,0,4
SL0059,#F8B0C0,#C88B98,15.22,12,0,0,0,0,0,0,0,5,0,0,0,4
SL0060,#F888A8,#BC667D,18.53,8,0,0,0,0,0,0,0,7,0,0,0,5
SL0061,#F8A8A8,#D58F8E,10.69,12,0,0,0,0,0,0,0,3,0,0,0,6
SL0062,#F0A8A0,#DA9690,7.09,12,0,0,0,0,0,0,0,2,0,0,0,6
SL0063,#F09890,#DB8D85,6.35,11,0,0,0,0,0,0,0,2,0,0,0,7
SL0064,#F09090,#D5817F,8.13,10,0,0,0,0,0,0,0,3,0,0,0,7
SL0065,#D88098,#BB7088,8.9,9,0,0,0,0,0,0,0,7,0,0,0,4
SL0066,#C06878,#C36878,1.59,8,0,0,0,0,0,0,0,6,0,0,0,6
SL0067,#C06878,#C36878,1.59,8,0,0,0,0,0,0,0,6,0,0,0,6
SL0068,#C87880,#CA7982,0.79,10,0,0,0,0,0,0,0,5,0,0,0,6
SL0069,#E88898,#C77884,10.41,9,0,0,0,0,0,0,0,5,0,0,0,5
SL0070,#E87880,#CA6A73,9.75,8,0,0,0,0,0,0,0,5,0,0,0,7
SL0071,#F88098,#BF6377,17.69,8,0,0,0,0,0,0,0,7,0,0,0,6
SL0072,#F87890,#BD5D71,18.15,7,0,0,0,0,0,0,0,7,0,0,0,6
SL0073,#F88090,#C56572,15.43,8,0,0,0,0,0,0,0,6,0,0,0,7
SL0074,#F87080,#C55561,15.71,6,0,0,0,0,0,0,0,6,0,0,0,8
SL0075,#F06878,#C55561,13.67,6,0,0,0,0,0,0,0,6,0,0,0,8
SL0076,#E87078,#CB6167,9.11,7,0,0,0,0,0,0,0,5,0,0,0,8
SL0077,#F08890,#CB7078,11.49,9,0,0,0,0,0,0,0,5,0,0,0,7
SL0078,#F07878,#D06C6E,10.57,8,0,0,0,0,0,0,0,4,0,0,0,8
SL0079,#F08878,#E3806F,4.18,9,0,0,0,0,0,0,0,1,0,0,0,9
SL0080,#F86860,#D95C52,10.01,6,0,0,0,0,0,0,0,3,0,0,0,11
SL0081,#D86878,#C45F6C,6.52,7,0,0,0,0,0,0,0,6,0,0,0,7
SL0082,#F07080,#C45F6C,14.33,7,0,0,0,0,0,0,0,6,0,0,0,7
SL0083,#F88088,#CA6A73,14.58,8,0,0,0,0,0,0,0,5,0,0,0,7
SL0084,#F87888,#C45F6C,16.21,7,0,0,0,0,0,0,0,6,0,0,0,7
SL0085,#E85868,#C14857,12.32,5,0,0,0,0,0,0,0,7,0,0,0,9
SL0086,#D83838,#CD3232,3.61,2,0,0,0,0,0,0,0,5,0,0,0,12
SL0087,#E87080,#C45F6C,11.39,7,0,0,0,0,0,0,0,6,0,0,0,7
SL0088,#D06880,#BD5D71,6.01,7,0,0,0,0,0,0,0,7,0,0,0,6
SL0089,#E86080,#B84860,14.79,5,0,0,0,0,0,0,0,8,0,0,0,7
SL0090,#E86890,#B14F70,17.5,6,0,0,0,0,0,0,0,9,0,0,0,5
SL0091,#D05078,#B14665,10.27,5,0,0,0,0,0,0,0,9,0,0,0,6
SL0092,#C84870,#AC3A5F,9.14,4,0,0,0,0,0,0,0,10,0,0,0,6
SL0093,#E85870,#BF4A5B,13.47,5,0,0,0,0,0,0,0,7,0,0,0,8
SL0094,#E85868,#C14857,12.32,5,0,0,0,0,0,0,0,7,0,0,0,9
SL0095,#D06880,#BD5D71,6.01,7,0,0,0,0,0,0,0,7,0,0,0,6
SL0096,#C03860,#AC3154,6.57,3,0,0,0,0,0,0,0,10,0,0,0,7
SL0097,#C85868,#BE5366,3.81,6,0,0,0,0,0,0,0,7,0,0,0,7
SL0098,#C04058,#B93E55,2.38,4,0,0,0,0,0,0,0,8,0,0,0,8
SL0099,#B04860,#B84860,3.82,5,0,0,0,0,0,0,0,8,0,0,0,7
SL0100,#C04058,#B93E55,2.38,4,0,0,0,0,0,0,0,8,0,0,0,8
SL0101,#C83050,#B12947,8.05,2,0,0,0,0,0,0,0,9,0,0,0,8
SL0102,#B83048,#B6324B,1.85,3,0,0,0,0,0,0,0,9,0,0,0,9
SL0103,#C02838,#BD2B3B,2.77,2,0,0,0,0,0,0,0,8,0,0,0,11
SL0104,#C02038,#B52038,5.42,1,0,0,0,0,0,0,0,9,0,0,0,10
SL0105,#C02040,#AE1E3D,7.07,1,0,0,0,0,0,0,0,10,0,0,0,9
SL0106,#C02840,#B72940,4.6,2,0,0,0,0,0,0,0,9,0,0,0,10
SL0107,#C02848,#B12745,6.12,2,0,0,0,0,0,0,0,10,0,0,0,9
SL0108,#D03858,#B3334F,10.21,3,0,0,0,0,0,0,0,9,0,0,0,8
SL0109,#D01040,#A00C31,17.31,0,0,0,0,0,0,6,0,8,0,0,0,6
SL0110,#B01828,#BC1928,5.36,0,0,0,0,0,0,0,0,8,0,0,0,12
SL0111,#C02030,#BC2233,3.56,1,0,0,0,0,0,0,0,8,0,0,0,11
SL0112,#C02030,#BC2233,3.56,1,0,0,0,0,0,0,0,8,0,0,0,11
SL0113,#B03038,#C73940,7.94,3,0,0,0,0,0,0,0,6,0,0,0,11
SL0114,#A02830,#C12E39,12.32,2,0,0,0,0,0,0,0,7,0,0,0,11
SL0115,#A02838,#BB2C3E,10.08,2,0,0,0,0,0,0,0,8,0,0,0,10
SL0116,#901020,#B51428,14.53,0,0,0,0,0,0,3,0,7,0,0,0,10
SL0117,#882030,#BB2C3E,18.61,2,0,0,0,0,0,0,0,8,0,0,0,10
SL0118,#981830,#B11E3A,8.71,1,0,0,0,0,0,0,0,10,0,0,0,10
SL0119,#981820,#C11A25,16.7,0,0,0,0,0,0,0,0,7,0,0,0,12
SL0120,#C81048,#9C0C38,15.69,0,0,0,0,0,0,4,0,10,0,0,0,6
SL0121,#B01010,#BE1211,5.6,0,0,0,0,0,0,11,0,0,0,0,0,9
SL0122,#B01018,#B6101A,1.92,0,0,0,0,0,0,10,0,2,0,0,0,8
