Item Name,SKU,Unit,Item Type,Category,Subcategory,Description,MOQ,Size,Packaging Type,HEX Color,Image URL
Detail Art Brush Set,ACC-BRS-SET,pcs,Inventory,Accessories,Brushes,Professional art brush set,6,1pcs,N/A,,
Buffer Block 4-Way,ACC-BUFF-001,pcs,Inventory,Accessories,Tools,4-sided buffer block,24,1pcs,N/A,,
Crystal Nail File,ACC-FILE-001,pcs,Inventory,Accessories,Tools,Professional glass file,12,1pcs,N/A,,
LC-BIAB-011,LC-BIAB-011,ml,Inventory,Builder Gel,BIAB,,25,15ml,Jar,,/img/b2b/brush-on-builder/LC-BIAB-011.webp
LC-BIAB-012,LC-BIAB-012,ml,Inventory,Builder Gel,BIAB,,25,15ml,Jar,,/img/b2b/brush-on-builder/LC-BIAB-012.webp
LC-BIAB-013,LC-BIAB-013,ml,Inventory,Builder Gel,BIAB,,25,15ml,Jar,,/img/b2b/brush-on-builder/LC-BIAB-013.webp
LC-BIAB-014,LC-BIAB-014,ml,Inventory,Builder Gel,BIAB,,25,15ml,Jar,,/img/b2b/brush-on-builder/LC-BIAB-014.webp
LC-BIAB-015,LC-BIAB-015,ml,Inventory,Builder Gel,BIAB,,25,15ml,Jar,,/img/b2b/brush-on-builder/LC-BIAB-015.webp
LC-BIAB-016,LC-BIAB-016,ml,Inventory,Builder Gel,BIAB,,25,15ml,Jar,,/img/b2b/brush-on-builder/LC-BIAB-016.webp
LC-BIAB-017,LC-BIAB-017,ml,Inventory,Builder Gel,BIAB,,25,15ml,Jar,,/img/b2b/brush-on-builder/LC-BIAB-017.webp
LC-BIAB-018,LC-BIAB-018,ml,Inventory,Builder Gel,BIAB,,25,15ml,Jar,,/img/b2b/brush-on-builder/LC-BIAB-018.webp
LC-BIAB-019,LC-BIAB-019,ml,Inventory,Builder Gel,BIAB,,25,15ml,Jar,,/img/b2b/brush-on-builder/LC-BIAB-019.webp
LC-BIAB-020,LC-BIAB-020,ml,Inventory,Builder Gel,BIAB,,25,15ml,Jar,,/img/b2b/brush-on-builder/LC-BIAB-020.webp
LC-BIAB-031,LC-BIAB-031,ml,Inventory,Builder Gel,BIAB,,25,15ml,Jar,,/img/b2b/brush-on-builder/LC-BIAB-031.webp
LC-BIAB-032,LC-BIAB-032,ml,Inventory,Builder Gel,BIAB,,25,15ml,Jar,,/img/b2b/brush-on-builder/LC-BIAB-032.webp
LC-BIAB-033,LC-BIAB-033,ml,Inventory,Builder Gel,BIAB,,25,15ml,Jar,,/img/b2b/brush-on-builder/LC-BIAB-033.webp
LC-BIAB-34,LC-BIAB-34,ml,Inventory,Builder Gel,BIAB,,25,15ml,Jar,,/img/b2b/brush-on-builder/LC-BIAB-34.webp
LC-BIAB-035,LC-BIAB-035,ml,Inventory,Builder Gel,BIAB,,25,15ml,Jar,,/img/b2b/brush-on-builder/LC-BIAB-035.webp
LC-BIAB-036,LC-BIAB-036,ml,Inventory,Builder Gel,BIAB,,25,15ml,Jar,,/img/b2b/brush-on-builder/LC-BIAB-036.webp
LC-BIAB-037,LC-BIAB-037,ml,Inventory,Builder Gel,BIAB,,25,15ml,Jar,,/img/b2b/brush-on-builder/LC-BIAB-037.webp
LC-BIAB-038,LC-BIAB-038,ml,Inventory,Builder Gel,BIAB,,25,15ml,Jar,,/img/b2b/brush-on-builder/LC-BIAB-038.webp
LC-BIAB-039,LC-BIAB-039,ml,Inventory,Builder Gel,BIAB,,25,15ml,Jar,,/img/b2b/brush-on-builder/LC-BIAB-039.webp
LC-BIAB-040,LC-BIAB-040,ml,Inventory,Builder Gel,BIAB,,25,15ml,Jar,,/img/b2b/brush-on-builder/LC-BIAB-040.webp
LC-BIAB-051,LC-BIAB-051,ml,Inventory,Builder Gel,BIAB,,25,15ml,Jar,,/img/b2b/brush-on-builder/LC-BIAB-051.webp
LC-BIAB-052,LC-BIAB-052,ml,Inventory,Builder Gel,BIAB,,25,15ml,Jar,,/img/b2b/brush-on-builder/LC-BIAB-052.webp
LC-BIAB-053,LC-BIAB-053,ml,Inventory,Builder Gel,BIAB,,25,15ml,Jar,,/img/b2b/brush-on-builder/LC-BIAB-053.webp
LC-BIAB-054,LC-BIAB-054,ml,Inventory,Builder Gel,BIAB,,25,15ml,Jar,,/img/b2b/brush-on-builder/LC-BIAB-054.webp
LC-BIAB-055,LC-BIAB-055,ml,Inventory,Builder Gel,BIAB,,25,15ml,Jar,,/img/b2b/brush-on-builder/LC-BIAB-055.webp
LC-BIAB-056,LC-BIAB-056,ml,Inventory,Builder Gel,BIAB,,25,15ml,Jar,,/img/b2b/brush-on-builder/LC-BIAB-056.webp
LC-BIAB-057,LC-BIAB-057,ml,Inventory,Builder Gel,BIAB,,25,15ml,Jar,,/img/b2b/brush-on-builder/LC-BIAB-057.webp
LC-BIAB-058,LC-BIAB-058,ml,Inventory,Builder Gel,BIAB,,25,15ml,Jar,,/img/b2b/brush-on-builder/LC-BIAB-058.webp
LC-BIAB-059,LC-BIAB-059,ml,Inventory,Builder Gel,BIAB,,25,15ml,Jar,,/img/b2b/brush-on-builder/LC-BIAB-059.webp
LC-BIAB-060,LC-BIAB-060,ml,Inventory,Builder Gel,BIAB,,25,15ml,Jar,,/img/b2b/brush-on-builder/LC-BIAB-060.webp
LC-BIAB-071,LC-BIAB-071,ml,Inventory,Builder Gel,BIAB,,25,15ml,Jar,,/img/b2b/brush-on-builder/LC-BIAB-071.webp
LC-BIAB-072,LC-BIAB-072,ml,Inventory,Builder Gel,BIAB,,25,15ml,Jar,,/img/b2b/brush-on-builder/LC-BIAB-072.webp
LC-BIAB-073,LC-BIAB-073,ml,Inventory,Builder Gel,BIAB,,25,15ml,Jar,,/img/b2b/brush-on-builder/LC-BIAB-073.webp
LC-BIAB-074,LC-BIAB-074,ml,Inventory,Builder Gel,BIAB,,25,15ml,Jar,,/img/b2b/brush-on-builder/LC-BIAB-074.webp
LC-BIAB-075,LC-BIAB-075,ml,Inventory,Builder Gel,BIAB,,25,15ml,Jar,,/img/b2b/brush-on-builder/LC-BIAB-075.webp
LC-BIAB-076,LC-BIAB-076,ml,Inventory,Builder Gel,BIAB,,25,15ml,Jar,,/img/b2b/brush-on-builder/LC-BIAB-076.webp
LC-BIAB-077,LC-BIAB-077,ml,Inventory,Builder Gel,BIAB,,25,15ml,Jar,,/img/b2b/brush-on-builder/LC-BIAB-077.webp
LC-BIAB-078,LC-BIAB-078,ml,Inventory,Builder Gel,BIAB,,25,15ml,Jar,,/img/b2b/brush-on-builder/LC-BIAB-078.webp
LC-BIAB-079,LC-BIAB-079,ml,Inventory,Builder Gel,BIAB,,25,15ml,Jar,,/img/b2b/brush-on-builder/LC-BIAB-079.webp
LC-BIAB-080,LC-BIAB-080,ml,Inventory,Builder Gel,BIAB,,25,15ml,Jar,,/img/b2b/brush-on-builder/LC-BIAB-080.webp
LC-BIAB-081,LC-BIAB-081,ml,Inventory,Builder Gel,BIAB,,25,15ml,Jar,,/img/b2b/brush-on-builder/LC-BIAB-081.webp
LC-BIAB-082,LC-BIAB-082,ml,Inventory,Builder Gel,BIAB,,25,15ml,Jar,,/img/b2b/brush-on-builder/LC-BIAB-082.webp
